date,home,away,total_line,quarter_line,q1,q2,q3,q4,q4_result
2026-04-10,Shanghai Sharks,Fujian Sturgeons,199.5,49.88,54,64,62,55,ТБ
2026-04-13,Sichuan Blue Whales,Shenzhen Leopards,186.5,46.62,60,55,60,64,ТБ
2026-04-15,Liaoning Flying Leopards,Nanjing Monkey Kings,179.5,44.88,51,56,47,44,ТМ
2026-04-17,Shenzhen Leopards,Ningbo Rockets,182.5,45.62,50,47,60,45,ТМ
2026-04-19,Zhejiang Guangsha Lions,Beijing Royal Fighters,177.5,44.38,45,60,54,35,ТМ
2026-04-19,Qingdao Eagles,Beijing Ducks,167.5,41.88,42,50,45,48,ТБ
2026-05-06,Beijing Ducks,Guangdong Southern Tigers,168.5,42.12,54,44,50,48,ТБ
2026-05-07,Shenzhen Leopards,Zhejiang Golden Bulls,182.5,45.62,50,59,47,47,ТБ
2026-05-07,Zhejiang Guangsha Lions,Shanxi Loongs,178.5,44.62,50,46,47,39,ТМ
2026-05-16,Zhejiang Guangsha Lions,Shenzhen Leopards,187.5,46.88,49,64,48,52,ТБ
